region,cntyname,zip_sort,name,address,city,state,zip,phone,cert,AUTO_UNIQUE_ID_2014-05-01_delmeram_ESAPPharmacies,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,CensusYear,CensusPlaceFips,CensusMsaFips,CensusMetDivFips,CensusMcdFips,CensusCbsaMicro,CensusCbsaFips,CensusBlock,CensusBlockGroup,CensusTract,CensusCountyFips,CensusStateFips,naaccrCertCode,naaccrCertType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle,PPostArticle,PPreArticle,PPreType,PNumber,PNumberFractional,PPreDirectional,PName,PSuffix,PPostDirectional,PSuiteType,PSuiteNumber,PPostOfficeBoxType,PPostOfficeBoxNumber,PCity,PState,PZip,PZipPlus1,PZipPlus2,PZipPlus3,PZipPlus4,PZipPlus5,PPreQualifier,PPostQualifier,PConsolidatedCity,PMinorCivilDivision,PCountySubRegion,PCounty,FNumber,FNumberFractional,FPreDirectional,FName,FSuffix,FPostDirectional,FSuiteType,FSuiteNumber,FCity,FState,FZip,FZipPlus1,FZipPlus2,FZipPlus3,FZipPlus4,FZipPlus5,FPreQualifier,FPostQualifier,FConsolidatedCity,FMinorCivilDivision,FCountySubRegion,FCounty,FArea,FAreaType,FGeometry,FSource,FVintage,FPrimaryIdValue,FPostOfficeBoxNumber,FPrimaryIdField,FGeometrySRID,FPostOfficeBoxType,FPreType,FPreArticle,FPostArticle
2,NEW YORK,10022,DUANE READE,866 THIRD AVE.,NEW YORK,NY,10022,(212) 759-9412,NS000001,1,USCGeocoder,187,1,4.01,,3bba2a1c-89cf-4fd1-b8c7-e853645cd720,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,2310.64065184444,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7575568415352,-73.9699668778739,Relaxed;Soundex,TwoThousandTen,51000,5602,35644,44919,0,35620,2003,2,0100.00,061,36,1,ResidenceStreetAddress,866,,,,AVE,,,,,,NEW YORK,NY,10022,,,,,,,,,,,,,,,,,,866,,,,AVE,,,,,,NEW YORK,NY,10022,,,,,,,,,,,,866,,,,AVE,,,,New York,NY,10022,,,,6221,,,,,,,,2310.64065184444,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,958609,,UniqueId,0,,,,
2,KINGS,11201,DUANE READE,44 COURT ST.,BROOKLYN,NY,11201,(718) 852-1082,NS000002,2,USCGeocoder,218,1,4.01,,cb3a3df7-7329-450a-956e-c3cecdf5ad97,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1326.31512770802,ArealInterpolationGeometricCentroid,Parcel,98.4023668639053,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.6927615173428,-73.991318617781,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,1002,1,0009.00,047,36,1,ResidenceStreetAddress,44,,,,ST,,,,,,BROOKLYN,NY,11201,,,,,,,,,,,,,,,,,,44,,,,ST,,,,,,BROOKLYN,NY,11201,,,,,,,,,,,,44,,,,ST,,,,New York,NY,11201,,,,4405,,,,,,,,1326.31512770802,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,651667,,UniqueId,0,,,,
2,NEW YORK,10001,DUANE READE,PENN STATION- AMTRACK LEVEL,NEW YORK,NY,10001,(212) 760-8107,NS000003,3,USCGeocoder,312,1,4.01,,93cb98e7-078c-4463-b8be-4eb8d57dbdc4,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.75205,-73.994517,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,1000,1,0103.00,061,36,4,ResidenceZIP,,,,,STA,,UNIT,AMTRACK LEVEL,,,NEW YORK,NY,10001,,,,,,,,,,,,,,,,,,,,,,STA,,UNIT,AMTRACK LEVEL,,,NEW YORK,NY,10001,,,,,,,,,,,,,,,,,,,,New York,NY,10001,,,,,,,,,,,New York,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,10001,,ZIPCode,0,,,,
2,NEW YORK,10025,DUANE READE,2307 BROADWAY,NEW YORK,NY,10025,(212) 501-8355,NS000004,4,USCGeocoder,218,1,4.01,,0758852b-6103-4be9-a790-068a600840df,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,391.463449493051,ArealInterpolationGeometricCentroid,Parcel,98.8757396449704,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7868797703894,-73.9782704978054,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,3002,3,0171.00,061,36,1,ResidenceStreetAddress,2307,,,,,,,,,,NEW YORK,NY,10025,,,,,,,,,,,,,,,,,,2307,,,,,,,,,,NEW YORK,NY,10025,,,,,,,,,,,,2307,,,,,,,,New York,NY,10024,,,,4347,,,,,,,,391.463449493051,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,939334,,UniqueId,0,,,,
2,NEW YORK,10036,DUANE READE,22 W. 48TH ST.,NEW YORK,NY,10036,(212) 730-4914,NS000006,5,USCGeocoder,218,1,4.01,,528648ca-7b9a-44d8-80e3-209689bcdf05,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2724.22909620148,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.7573909714236,-73.9785995935303,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,1002,1,0096.00,061,36,1,ResidenceStreetAddress,22,,W,,ST,,,,,,NEW YORK,NY,10036,,,,,,,,,,,,,,,,,,22,,W,,ST,,,,,,NEW YORK,NY,10036,,,,,,,,,,,,2-58,,W,,St,,,,New York,NY,10036,,,,,,,,,,Manhattan,New York,2724.22909620148,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,59657159,,tlid,0,,,,
2,NEW YORK,10011,DUANE READE,378 6TH AVE.,NEW YORK,NY,10011,(212) 674-5357,NS000007,6,USCGeocoder,2777,1,4.01,,4223ea41-1f4f-4ee0-8687-5efbbc9a54d9,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,147.195712506771,ArealInterpolationGeometricCentroid,Parcel,97.2781065088757,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.6698701849735,-73.9827175236731,Relaxed,TwoThousandTen,51000,5602,35644,10022,0,35620,2001,2,0137.00,047,36,1,ResidenceStreetAddress,378,,,,AVE,,,,,,NEW YORK,NY,10011,,,,,,,,,,,,,,,,,,378,,,,AVE,,,,,,NEW YORK,NY,10011,,,,,,,,,,,,378,,,,AVE,,,,New York,NY,11215,,,,3383,,,,,,,,147.195712506771,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,662820,,UniqueId,0,,,,
2,NEW YORK,10010,DUANE READE,71 W. 23RD ST.,NEW YORK,NY,10010,(212) 463-8873,NS000008,7,USCGeocoder,468,1,4.01,,ab68b0f3-1954-459a-ba71-7bd415acb0fc,03,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,6558.86456391052,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.7425934003657,-73.9918380426163,Exact,TwoThousandTen,51000,5602,35644,44919,0,35620,1007,1,0058.00,061,36,1,ResidenceStreetAddress,71,,W,,ST,,,,,,NEW YORK,NY,10010,,,,,,,,,,,,,,,,,,71,,W,,ST,,,,,,NEW YORK,NY,10010,,,,,,,,,,,,1-99,,W,,St,,,,New York,NY,10010,,,,,,,,,,Manhattan,New York,6558.86456391052,Meters,,SOURCE_CENSUS_TIGERLINES_2010,2010,59653411,,tlid,0,,,,
2,NEW YORK,10003,DUANE READE,196 3RD AVE.,NEW YORK,NY,10003,(212) 598-0339,NS000010,8,USCGeocoder,281,1,4.01,,7122fff1-0332-4c04-a131-1caa419c3564,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,214.241283670068,ArealInterpolationGeometricCentroid,Parcel,88.8165680473373,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7226296766623,-73.9834951909812,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,1000,1,0030.02,061,36,1,ResidenceStreetAddress,196,,,,AVE,,,,,,NEW YORK,NY,10003,,,,,,,,,,,,,,,,,,196,,,,AVE,,,,,,NEW YORK,NY,10003,,,,,,,,,,,,196,,E,,ST,,,,New York,NY,10009,,,,7716,,,,,,,,214.241283670068,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,930069,,UniqueId,0,,,,
2,QUEENS,11373,DUANE READE,81-01 BROADWAY,ELMHURST,NY,11373,(718) 507-1126,NS000011,9,USCGeocoder,390,1,4.01,,aa35761a-da66-4f21-91bb-6ce0b9fe1148,09,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,40.738937,-73.87916,Exact,TwoThousandTen,51000,5602,35644,60323,0,35620,2003,2,0485.00,081,36,4,ResidenceZIP,81,,,,,,,,,,ELMHURST,NY,11373,,,,,,,,,,,,,,,,,,81,,,,,,,,,,ELMHURST,NY,11373,,,,,,,,,,,,,,,,,,,,Elmhurst,NY,11373,,,,,,,,,,,Queens,0,Meters,,SOURCE_NAME_ZIPCODEDOWNLOAD_ZIPS2013,2013,11373,,ZIPCode,0,,,,
2,NEW YORK,10024,DUANE READE,380 AMSTERDAM AVE.,NEW YORK,NY,10024,(212) 579-7246,NS000013,10,USCGeocoder,250,1,4.01,,30ece5df-2fea-4d5d-8512-1ce981c57086,02,Parcel,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,1894.19231462479,ArealInterpolationGeometricCentroid,Parcel,99.4082840236686,FeatureClassBased,ReturnAll,,ExactParcelCentroidPoint,,,0,40.7829193066372,-73.9789090860432,Relaxed,TwoThousandTen,51000,5602,35644,44919,0,35620,5001,5,0167.00,061,36,1,ResidenceStreetAddress,380,,,,AVE,,,,,,NEW YORK,NY,10024,,,,,,,,,,,,,,,,,,380,,,,AVE,,,,,,NEW YORK,NY,10024,,,,,,,,,,,,380,,,,AVE,,,,New York,NY,10024,,,,6278,,,,,,,,1894.19231462479,Meters,,SOURCE_BOUNDARY_SOLUTIONS_PARCEL_CENTROIDS,2012,970855,,UniqueId,0,,,,
